,jokes,whtsapp_lnk
21,A woman worries about the future until she gets a husband. A man never worries about the future until he gets a wife. A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.,"https://api.whatsapp.com/send?text=A%20woman%20worries%20about%20the%20future%20until%20she%20gets%20a%20husband.
A%20man%20never%20worries%20about%20the%20future%20until%20he%20gets%20a%20wife.
A%20successful%20man%20is%20one%20who%20makes%20more%20money%20than%20his%20wife%20can%20spend.
A%20successful%20woman%20is%20one%20who%20can%20find%20such%20a%20man."
22,"Married men live longer than single men do, but, married men are a lot more willing to die.","https://api.whatsapp.com/send?text=Married%20men%20live%20longer%20than%20single%20men%20do,
but,
married%20men%20are%20a%20lot%20more%20willing%20to%20die."
23,"Teacher: “Can anyone give me an example of Coincidence?” Johnny: “Sir, my mother and father got married on the same day same time.”","https://api.whatsapp.com/send?text=Teacher:%20“Can%20anyone%20give%20me%20an%20example%20of%20Coincidence?”
Johnny:%20“Sir,%20my%20mother%20and%20father%20got%20married%20on%20the%20same%20day%20same%20time.”"
24,"A man in Hell asked Devil: Can I make a call to my Wife? After making call he asked How much pay... Devil: Nothing, hell to hell is free... :-)","https://api.whatsapp.com/send?text=A%20man%20in%20Hell%20asked%20Devil:%20Can%20I%20make%20a%20call%20to%20my%20Wife?
After%20making%20call%20he%20asked%20How%20much%20pay...
Devil:%20Nothing,%20hell%20to%20hell%20is%20free...%20:-)"
25,"Next generation LKG poem chatting chatting yes papa girlfriend setting no papa telling lies no papa open your whatsapp hahaha,","https://api.whatsapp.com/send?text=Next%20generation%20LKG%20poem

chatting%20chatting
yes%20papa
girlfriend%20setting
no%20papa
telling%20lies
no%20papa
open%20your%20whatsapp
hahaha,"
26,"Two Tigers were resting under a tree.. Suddenly a RABBIT passed very fast. Tiger could not make out & asked, “What was that?” 2nd Tiger smiled and said: . . . . Fast Food…my dear friend","https://api.whatsapp.com/send?text=Two%20Tigers%20were%20resting%20under%20a%20tree..
Suddenly%20a%20RABBIT%20passed%20very%20fast.
Tiger%20could%20not%20make%20out%20&%20asked,
“What%20was%20that?”
2nd%20Tiger%20smiled%20and%20said:
.
.
.
.
Fast%20Food…my%20dear%20friend"
27,"Chai ke cup se uthte dhuein mein Teri shakl nazar aati hai, Tere khyalon mein kho kar aksar Meri chai thandi ho jaati hai….wahh wahh wahh ","https://api.whatsapp.com/send?text=Chai%20ke%20cup%20se%20uthte%20dhuein%20mein
Teri%20shakl%20nazar%20aati%20hai,
Tere%20khyalon%20mein%20kho%20kar%20aksar
Meri%20chai%20thandi%20ho%20jaati%20hai….wahh%20wahh%20wahh%20"
28,"When There Is a Long Gap Between Engagement & Marriage, Who Is Most Benefited ? ? Boy No ? Girl No ? It's The . . . Mobile Company!","https://api.whatsapp.com/send?text=When%20There%20Is%20a%20Long%20Gap%20Between%20Engagement%20&%20Marriage,
Who%20Is%20Most%20Benefited%20?
?
Boy
No
?
Girl
No
?
It's%20The
.
.
.
Mobile%20Company!"
29,"2 Lovers decided to suicide...! . . . . . . . Boy jumped 1st, Girl Closed her eyes n returned Home... . . . . . . . Boy In the Air Opened the Parachute n Said I knew that Bitch won't ""jump.! . . . . . . . . From that day onwards peoplestarted saying # Ladies First ","https://api.whatsapp.com/send?text=2%20Lovers%20decided%20to%20suicide...!
.
.
.
.
.
.
.
Boy%20jumped%201st,%20Girl%20Closed%20her
eyes%20n%20returned
Home...
.
.
.
.
.
.
.
Boy%20In%20the%20Air%20Opened%20the
Parachute%20n%20Said%20I
knew%20that%20Bitch%20won't%20"
30,"Millions of people write Love Letters. But everyone send there 1st love letter mostly to me. Just imagine how lucky I am! Great words Said by, —DUST BIN—","https://api.whatsapp.com/send?text=Millions%20of%20people%20write%20Love%20Letters.
But%20everyone%20send%20there%201st%20love%20letter%20mostly%20to%20me.
Just%20imagine%20how%20lucky%20I%20am!
Great%20words%20Said%20by,
—DUST%20BIN—"
31,Saying Funny jokes boost up the people immunity process as body relaxes after every good moment of your life.,https://api.whatsapp.com/send?text=Saying%20Funny%20jokes%20boost%20up%20the%20people%20immunity%20process%20as%20body%20relaxes%20after%20every%20good%20moment%20of%20your%20life.
32,"Braindetector activated, calibrating, now searching………still searching……get a good grip of your mobile….still searching…….no brains found.","https://api.whatsapp.com/send?text=Braindetector%20activated,%20calibrating,%20now%20searching………still%20searching……get%20a%20good%20grip%20of%20your%20mobile….still%20searching…….no%20brains%20found."
33,"Teacher: “Can anyone give me an example of Coincidence?” Johnny: “Sir, my mother and father got married on the same day same time.”","https://api.whatsapp.com/send?text=Teacher:%20“Can%20anyone%20give%20me%20an%20example%20of%20Coincidence?”
Johnny:%20“Sir,%20my%20mother%20and%20father%20got%20married%20on%20the%20same%20day%20same%20time.”"
34,Mujhse Woh Kehti Hai k Tumhari Zindagi ko Jannat Bana dungi . . . . . . . . . . Banana Usko ‘Maggie’ bhi nahi aata … . . Per Confidence Dekho Bandi ka ;-):-D,"https://api.whatsapp.com/send?text=Mujhse%20Woh%20Kehti%20Hai%20k%20Tumhari%20Zindagi%20ko%20Jannat%20Bana%20dungi

.

.

.%20.%20.%20.%20.%20.%20.%20.

Banana%20Usko%20‘Maggie’%20bhi%20nahi%20aata%20…

.

.

%20

Per%20Confidence%20Dekho%20Bandi%20ka%20;-):-D"
35,"Kia January, Kia February, Hum kia karein November ko, December ko? . Jab Girlfriend hi nahi Humari to, Aag lagy is Calendar ko…………..! . For all singles including me…. ","https://api.whatsapp.com/send?text=Kia%20January,%20Kia%20February,
Hum%20kia%20karein
November%20ko,%20December%20ko?

.

Jab%20Girlfriend%20hi%20nahi%20Humari%20to,
Aag%20lagy%20is%20Calendar%20ko…………..!

.

For%20all%20singles%20including%20me….%20"
36,Khoob muskurao k mera sms aya hai Mobile choomo k mera sms aya hai Fakhar se gardan akrao k mera sms aya hai Chhat pe charho aur kood jao k mera sms aya hai ,"https://api.whatsapp.com/send?text=Khoob%20muskurao%20k%20mera%20sms%20aya%20hai
Mobile%20choomo%20k%20mera%20sms%20aya%20hai
Fakhar%20se%20gardan%20akrao%20k%20mera%20sms%20aya%20hai
Chhat%20pe%20charho%20aur%20kood%20jao%20k%20mera%20sms%20aya%20hai%20"
37,"1 Universe. 9 planets, 204 countries, 809 islands, 7 seas, 6 billion people and I had the privilege of meeting you.","https://api.whatsapp.com/send?text=1%20Universe.%209%20planets,%20204%20countries,%20809%20islands,%207%20seas,%206%20billion%20people%20and%20I%20had%20the%20privilege%20of%20meeting%20you."
38,Shohar aur biwi ek hi din mar gaye. Shohar bhoot ban gaya aur Biwi Churail ban gai. Kuch dino k baad dono ka aamna saamna howa. Biwi: Kitne ajeeb lag rahy ho bhoot ban kar. Shohar: Han. Lekin tum bilkul bhi nahi badli… wesi ki wesi hi ho,"https://api.whatsapp.com/send?text=Shohar%20aur%20biwi%20ek%20hi%20din%20mar%20gaye.
Shohar%20bhoot%20ban%20gaya%20aur%20Biwi%20Churail%20ban%20gai.%20Kuch%20dino%20k%20baad%20dono%20ka%20aamna%20saamna%20howa.

Biwi:%20Kitne%20ajeeb%20lag%20rahy%20ho%20bhoot%20ban%20kar.

Shohar:%20Han.%20Lekin%20tum%20bilkul%20bhi%20nahi%20badli…%20wesi%20ki%20wesi%20hi%20ho"
39,Aj ka kam Kl Per Mt Choro Albta Tum Isa Persoon Per Chor Sakta hoon..... Keya smja,https://api.whatsapp.com/send?text=Aj%20ka%20kam%20Kl%20Per%20Mt%20Choro%20Albta%20Tum%20Isa%20Persoon%20Per%20Chor%20Sakta%20hoon.....%20Keya%20smja
40,"1 admi ne FM radio pe call ki Admi: Mujay 1 batwa mila hai jis me boht sary paisy, credit cards aur NIC card hai. Address lakki marwat ka hai. Host: To ap unhein batwa wapis dena chahty hn? Admi:Hum ap ko pagal lagte hy, Usay meri taraf se 1 sad Song suna den.","https://api.whatsapp.com/send?text=1%20admi%20ne%20FM%20radio%20pe%20call%20ki

Admi:%20Mujay%201%20batwa%20mila%20hai%20jis%20me%20boht%20sary%20paisy,%20credit%20cards%20aur%20NIC%20card%20hai.%20Address%20lakki%20marwat%20ka%20hai.

Host:%20To%20ap%20unhein%20batwa%20wapis%20dena%20chahty%20hn?

Admi:Hum%20ap%20ko%20pagal%20lagte%20hy,%20
Usay%20meri%20taraf%20se%201%20sad%20Song%20suna%20den."
41,"Sardar: Parson Meri Biwi Kowein me gir gayi. Bohat chot lagi bechari ko, bohat cheekh rahi thi… Dost: Ab kesi hai tumhari Biwi? Sardar: Ab theek hai. Kalse Kowein me se Awaz nahi Ai …","https://api.whatsapp.com/send?text=Sardar:%20Parson%20Meri%20Biwi%20Kowein%20me%20gir%20gayi.

Bohat%20chot%20lagi%20bechari%20ko,%20bohat%20cheekh%20rahi%20thi…

%20

Dost:%20Ab%20kesi%20hai%20tumhari%20Biwi?

%20

Sardar:%20Ab%20theek%20hai.%20Kalse%20Kowein%20me%20se%20Awaz%20nahi%20Ai%20…"
42,Aaj mere pass Mobile hy Number hy Charger hy Battery hy Balance hy Tumhare pass kiya hy? Hy koi msg? To bhej do Agar nahi to Mobile bech do,"https://api.whatsapp.com/send?text=Aaj%20mere%20pass

Mobile%20hy

Number%20hy

Charger%20hy

Battery%20hy

Balance%20hy

Tumhare%20pass%20kiya%20hy?

Hy%20koi%20msg?

To%20bhej%20do

Agar%20nahi%20to%20

Mobile%20bech%20do"
43,Admi: Mohabt Shadi Se Pehle Honi Chahye Ya shadi ke Bad Me? . Boy: Mohabt Shadi Se Pehle Ho Ya Shadi k Bad Bus Uski Khbar Bv Ko Nhi Honi Chye,"https://api.whatsapp.com/send?text=Admi:
Mohabt%20Shadi%20Se%20Pehle%20Honi%20Chahye%20Ya%20shadi%20ke%20Bad%20Me?
.
Boy:%20Mohabt%20Shadi%20Se%20Pehle%20Ho%20Ya%20Shadi%20k%20Bad
Bus
Uski%20Khbar%20Bv%20Ko%20Nhi%20Honi%20Chye"
44,Dost: Yar Doctor ye Q Pochty Hain K Subah kya Khaya Raat kya Khaya.? . 2nd Dost: Yaar is Se Mareez ki Maali Halat ka Pata lag Jata Hain.,"https://api.whatsapp.com/send?text=Dost:%20Yar%20Doctor%20ye%20Q%20Pochty%20Hain%20K
Subah%20kya%20Khaya%20Raat%20kya%20Khaya.?

.

2nd%20Dost:%20Yaar%20is%20Se%20Mareez%20ki%20Maali
Halat%20ka%20Pata%20lag%20Jata%20Hain."
45," Dr.: 20 minutes pehele aatey tu mareez ko bachaya ja sakta hai, Relatives: 10 minutes pehley hi tu hadsa howa hai","https://api.whatsapp.com/send?text=%20Dr.:%2020%20minutes%20pehele%20aatey%20tu%20mareez%20ko%20bachaya%20ja%20sakta%20hai,%20
Relatives:%2010%20minutes%20pehley%20hi%20tu%20hadsa%20howa%20hai"
46,"Sardar goes to hotel & order chicken. Waiter: Italian, Chinese, French or Spanish? Sardar: Jera marzi lay aa . . . . . . . . . . . . . . . main kerra gallan karniyan nay 😀","https://api.whatsapp.com/send?text=Sardar%20goes%20to%20hotel%20&%20order%20chicken.

Waiter:%20Italian,%20Chinese,%20French%20or%20Spanish?

Sardar:%20Jera%20marzi%20lay%20aa%20.%20.%20.%20.%20.%20.%20.%20.%20.%20.%20.%20.%20.%20.%20.%20main%20kerra%20gallan%20karniyan%20nay%20😀"
47,Wo Jo apny pyar Ki Yaad Mein.. Jaagty Hein Tanha Raaton Ko.. Sirf Wohi Bata Sakty Hein K.. . . . Raat ko light kis kis time jati hai… 😀 ,"https://api.whatsapp.com/send?text=Wo%20Jo%20apny%20pyar%20Ki%20Yaad%20Mein..

Jaagty%20Hein%20Tanha%20Raaton%20Ko..

Sirf%20Wohi%20Bata%20Sakty%20Hein%20K..

.
.
.

Raat%20ko%20light%20kis%20kis%20time%20jati%20hai…%20😀%20"
48,Shohar aur biwi ek hi din mar gaye. Shohar bhoot ban gaya aur Biwi Churail ban gai. Kuch dino k baad dono ka aamna saamna howa. Biwi: Kitne ajeeb lag rahy ho bhoot ban kar. Shohar: Han. Lekin tum bilkul bhi nahi badli… wesi ki wesi hi ho,"https://api.whatsapp.com/send?text=Shohar%20aur%20biwi%20ek%20hi%20din%20mar%20gaye.
Shohar%20bhoot%20ban%20gaya%20aur%20Biwi%20Churail%20ban%20gai.%20Kuch%20dino%20k%20baad%20dono%20ka%20aamna%20saamna%20howa.

Biwi:%20Kitne%20ajeeb%20lag%20rahy%20ho%20bhoot%20ban%20kar.

Shohar:%20Han.%20Lekin%20tum%20bilkul%20bhi%20nahi%20badli…%20wesi%20ki%20wesi%20hi%20ho"
49,"Sardar: Parson Meri Biwi Kowein me gir gayi. Bohat chot lagi bechari ko, bohat cheekh rahi thi… Dost: Ab kesi hai tumhari Biwi? Sardar: Ab theek hai. Kalse Kowein me se Awaz nahi Ai …","https://api.whatsapp.com/send?text=Sardar:%20Parson%20Meri%20Biwi%20Kowein%20me%20gir%20gayi.

Bohat%20chot%20lagi%20bechari%20ko,%20bohat%20cheekh%20rahi%20thi…

%20

Dost:%20Ab%20kesi%20hai%20tumhari%20Biwi?

%20

Sardar:%20Ab%20theek%20hai.%20Kalse%20Kowein%20me%20se%20Awaz%20nahi%20Ai%20…"
50,Mujhse Woh Kehti Hai k Tumhari Zindagi ko Jannat Bana dungi . . . . . . . . . . Banana Usko ‘Maggie’ bhi nahi aata … . . Per Confidence Dekho Bandi ka ;-):-D,"https://api.whatsapp.com/send?text=Mujhse%20Woh%20Kehti%20Hai%20k%20Tumhari%20Zindagi%20ko%20Jannat%20Bana%20dungi

.

.

.%20.%20.%20.%20.%20.%20.%20.

Banana%20Usko%20‘Maggie’%20bhi%20nahi%20aata%20…

.

.

%20

Per%20Confidence%20Dekho%20Bandi%20ka%20;-):-D"
51,"""Google Maps"" Aaj Bhi Hamen Ye Nahi Bata Sakty K,, ""Piyar Hamen Kis Mod Pe Le Aaya.."" ",https://api.whatsapp.com/send?text=
52,"Admi In Hotel: Mere Pulaao Me Se Itny Sary Pathar Q Nikly Hen?? Waiter: Q K Sir Aap Ny ""Kashmiri Pulaao"" Order Kiya Tha.. :-D","https://api.whatsapp.com/send?text=Admi%20In%20Hotel:%20Mere%20Pulaao%20Me%20Se%20Itny%20Sary%20Pathar%20Q%20Nikly%20Hen??

Waiter:%20Q%20K%20Sir%20Aap%20Ny%20"
53,"Jitni Tezi Se Aaj Kal Shampoo Aur Lotions Me Shehad, Badam, Vitamin Aur Minerals Shamil Ho Rahy Hen, Dar Hai Kisi Din Doctors Usay Mid Day Meal K Menu Me Shamil Na Ker Den.. :-D","https://api.whatsapp.com/send?text=Jitni%20Tezi%20Se%20Aaj%20Kal

Shampoo%20Aur%20Lotions%20Me

Shehad,%20Badam,%20Vitamin%20Aur%20

Minerals%20Shamil%20Ho%20Rahy%20Hen,

Dar%20Hai%20Kisi%20Din%20Doctors%20Usay

Mid%20Day%20Meal%20K%20Menu%20Me%20Shamil%20Na%20Ker%20Den..%20:-D"
54,"Jab Hota Hai Tera Deedar,, Dil Dharakta Hai Baar Baar.. Aadat Se Majboor Ho Tum,, Jany Kab Maang Lo Hum Se Udhar.. :-D","https://api.whatsapp.com/send?text=Jab%20Hota%20Hai%20Tera%20Deedar,,

Dil%20Dharakta%20Hai%20Baar%20Baar..

Aadat%20Se%20Majboor%20Ho%20Tum,,%20

Jany%20Kab%20Maang%20Lo%20Hum%20Se%20Udhar..%20:-D"
55,Khan Sahab Kuch Fruits Ko Suraj Ki Roshni Me Sukha Rahy Thy.. Parosi: Khan Sahab Ye Aap Kiya Ker Rahy Ho?? Khan Sahab: Yara Hum Beemar Hai Aur Doctor Ny Dry Fruits Khany Ka Mashwara Diya Hai..,"https://api.whatsapp.com/send?text=Khan%20Sahab%20Kuch%20Fruits%20Ko%20Suraj%20Ki%20Roshni%20Me%20Sukha%20Rahy%20Thy..

Parosi:%20Khan%20Sahab%20Ye%20Aap%20Kiya%20Ker%20Rahy%20Ho??

Khan%20Sahab:%20Yara%20Hum%20Beemar%20Hai%20Aur
Doctor%20Ny%20Dry%20Fruits%20Khany%20Ka%20Mashwara%20Diya%20Hai.."
56,Bari shidat se intazar hai us sawal ka jis k jawab me hum kahein Qabool hai qabool hai qabool ha,"https://api.whatsapp.com/send?text=Bari%20shidat%20se%20intazar%20hai%20us%20sawal%20ka%20


jis%20k%20jawab%20me%20hum%20kahein%20
Qabool%20hai%20
qabool%20hai%20
qabool%20ha"
57,"What's the similarity between Income Tax and a Caller Tune? . .. ... In both the cases, one pays the money and others enjoy.","https://api.whatsapp.com/send?text=What's%20the%20similarity%20between%20Income%20Tax%20and%20a%20Caller%20Tune?
.
..
...
In%20both%20the%20cases,%20one%20pays%20the%20money%20and%20others%20enjoy."
58,?2 Nalaik Exam ke baad: 1st: Ye paper konsa tha? 2nd: Maths ka 1st: Mtlb tu paper kr k aaya hai? 2nd: Nai yaar! Sath wali lrki k paas Calculator dekha tha .,"https://api.whatsapp.com/send?text=?2%20Nalaik%20Exam%20ke%20baad:
1st:
Ye%20paper%20konsa%20tha?
2nd:
Maths%20ka
1st:
Mtlb%20tu%20paper%20kr%20k%20aaya%20hai?
2nd:
Nai%20yaar!%20Sath%20wali%20lrki%20k%20paas%20Calculator%20dekha%20tha%20."
59,Khan Sahab Kuch Fruits Ko Suraj Ki Roshni Me Sukha Rahy Thy.. Parosi: Khan Sahab Ye Aap Kiya Ker Rahy Ho?? Khan Sahab: Yara Hum Beemar Hai Aur Doctor Ny Dry Fruits Khany Ka Mashwara Diya Hai..!,"https://api.whatsapp.com/send?text=Khan%20Sahab%20Kuch%20Fruits%20Ko%20Suraj%20Ki%20Roshni%20Me%20Sukha%20Rahy%20Thy..

Parosi:%20Khan%20Sahab%20Ye%20Aap%20Kiya%20Ker%20Rahy%20Ho??

Khan%20Sahab:%20Yara%20Hum%20Beemar%20Hai%20Aur
Doctor%20Ny%20Dry%20Fruits%20Khany%20Ka%20Mashwara%20Diya%20Hai..!"
60,Judge Ny Husband Ko Talaq Ka Faisla Sunaya Aur Kaha: Ab Tum Her Month Apni Aadhi Salary Apni Wife Ko Diya Kero Gy.. Husband Khushi Se Dance Kerny Laga: Judge: Tum Khush Q Ho?? Husband: My Lord! Ab Kam Az Kam Aadhi Salary To Mere Paas Hua Kary Gi.. !,"https://api.whatsapp.com/send?text=Judge%20Ny%20Husband%20Ko%20Talaq%20Ka%20Faisla%20Sunaya%20Aur%20Kaha:
Ab%20Tum%20Her%20Month%20Apni%20Aadhi%20Salary%20Apni%20Wife%20Ko%20Diya%20Kero%20Gy..

Husband%20Khushi%20Se%20Dance%20Kerny%20Laga:%20

Judge:%20Tum%20Khush%20Q%20Ho??

Husband:%20My%20Lord!%20Ab%20Kam%20Az%20Kam%20
Aadhi%20Salary%20To%20Mere%20Paas%20Hua%20Kary%20Gi..%20!"
